,id,nct_id,outcome_type,measure,time_frame,population,description
5160,272999931,NCT01386658,secondary,Number of Participants With Worsened Intensity of Clinical Hereditary Angioedema (HAE) Symptoms Between 2 and 4 Hours After Treatment With Icatibant Exposure Number 1,From 2 hours post-dose to 4 hours post-dose,,"The investigator used a symptom score to assess the severities of symptoms of acute cutaneous, abdominal, and laryngeal attacks of HAE using the following 5- point scale: 0=none (absence of symptoms), 1=mild (no to mild interference with daily activities), 2=moderate (moderate interference with daily activities), 3=severe (severe interference with daily activities) and 4=very severe (very severe interference with daily activities). The number of participants with a worsened severity of HAE symptoms at 4 hours post-dose from 2 hours postdose were reported."
5161,271502260,NCT06217172,primary,Non-inferiority of telehealth monitoring according to differences in means of CDAI,From study start to 26 weeks (extended evaluation at 52 weeks),,"Non-inferiority margin of -0.6 u.m defined based on a 50% of Good EULAR Response criteria (with a 10% increase for possible losses and refusals, this number should be 88). The calculation considered a non-inferiority margin of -6 u.m., a power of 80%, level of significance of 5%, difference of 0 u.m between the means and standard deviation of 10.6 u.m. (data

Non-inferiority margin of -6 u.m defined based on a 50% of Good EULAR Response criteria"
5162,271340889,NCT01216904,secondary,Set shifting task,12-20 minutes,,"It has been considered a measure of executive function because of its reported sensitivity to frontal lobe dysfunction. As such, the WCST allows the clinician to assess the following ""frontal"" lobe functions: strategic planning, organized searching, utilizing environmental feedback to shift cognitive sets, directing behavior toward achieving a goal, and modulating impulsive responding."
5163,272137494,NCT02168842,secondary,Risk of Need for Antiparkinsonian Therapy,Baseline to 36 months of treatment,,Number of participants with need for Antiparkinsonian Therapy.
5164,272952694,NCT04342182,secondary,Impact of plasma therapy on risk of long-term structural lung damage and lung function,up to 12 months after plasma transfusion,,Low dose CT and lung function is done 6 weeks after discharge and if abnormal again 3 months after discharge.
5165,273732586,NCT06106035,primary,Intramyocellular and Hepatocellular Lipid Content,16-weeks,,MR spectroscopy will be used to quantify liver and muscle fat content. This study will assess the association of attending a series of plant-based nutrition classes with pre-post changes in intramyocellular and hepatocellular lipid content.
5166,273141770,NCT04816643,primary,"In Phase 2/3 selected-dose (2-dose series), the difference in percentages of participants with seroresponse in participants ≥5 to <12 years of age and participants 16 to 25 years of age from Phase 2/3 of the C4591001 study",1 month after the second dose,,As measured at the central laboratory
5167,271672739,NCT03653234,secondary,Change from baseline treatment compliance in people with mild cognitive impairment or mild dementia at 6 and 12 months.,At baseline and then at 6 and 12 months.,,"The Morisky Green Test (11) consists of 4 contrast questions with dichotomous yes/no responses, reflecting the patient's behaviour regarding compliance. They are intended to assess whether the patient adopts correct attitudes regarding treatment for their disease; it is assumed that if the attitudes are incorrect the patient is non-compliant."
5168,271785417,NCT04924205,primary,Range of Motion,3 months post-surgery,,"The study will collect measurements of knee flexion, extension, total arc of motion, and will also plan to record therapy compliance and complication rates. The two groups will be compared to study if the FM2 Knee Brace group is clinically non-inferior to the standard PT group with respect to knee range of motion."
5169,271982715,NCT02491515,secondary,The determinants related to BMD increase and fracture prevention for denosumab treatment,Up to 48 months,,The investigators evaluated lumbar and femoral neck BMD. The investigators evaluated baseline patients characteristics. The investigators will evaluate the relationship between BMD increase or fracture and patients characteristics using univariate and multivariate analysis.
5170,273176643,NCT01900171,primary,Plasma total bilirubin,up to 11 days,,
5171,274159698,NCT05152940,secondary,Change in the plasma volume,Baseline and One month,,Plasma volume to measure vascular congestion.
5172,272407095,NCT03221673,primary,Correlation between fitness level and metabolic health,June 2016-August 2018,,"A fitness test will be performed to determine peak oxygen uptake (VO2 peak, ml/kg per min). Correlations between peak VO2 and different markers of cardiometabolic health (IL-6, triglycerides, non-esterified fatty acids, glucose, insulin concentrations, etc.) will be determined. Other indicators of fitness level such as strength, flexibility and balance will be measured and correlations assessed."
5173,272564775,NCT02990325,secondary,Mean Change From Baseline in Plasma Viral Load (Ultrasensitive Assay),"Day 28, Day 56, Day 84 and Day 112",,Viral Load Assessments (HIV-1 RNA copies/ml)
5174,272379127,NCT02091284,other,Changes in Frontal Assessment Battery (FAB) Scores,Before tDCS treatment (initial) and after the end of the tDCS treatment (final),,"The FAB was used to explore six different domains of executive function. Each of these items is scored from 0 (zero) to a maximum of 3. Thus, the maximum score, meaning better scores, of FAB is 18. A single well trained examiner administered this assessment."
5175,272299274,NCT04813679,primary,to verify if bowel wall thickening (BWT) is pathognomonic of neutropenic enterocolitis,from March 2007 to January 2018,,Comparison of bowel wall thickness in patients with diagnosis of neutropenic enterocolitis and in the control group (NEC negative group)
5176,271620776,NCT04505813,primary,Adverse Events of Special Interest (AESIs)events (AEs) Reporting (ICANS),at year 1,,Immune effector Cell-Associated Neurotoxicity Syndrome (ICANS)
5177,273716801,NCT02607397,secondary,Normal Tissue Complication Probability,1 month,,"Based on the OAR's radiation exposure, normal tissue complication probability (NTCP) will be calculated using existing models or existing dose response curves."
5178,273389373,NCT04593316,primary,Difference of the frequency of TNF-a gene polymorphisms between the heatstroke group and the control group,At enrollment (day 1),,The frequency of TNF-a gene polymorphisms will calculated in each group by dividing the number of participants who present the polymorphism by the total number of participants in the group.
5179,271575465,NCT04727749,secondary,Change in Heart Rate,20 minutes post-visit,,Radial pulse
5180,273419453,NCT06138223,secondary,Overall survival,Baseline up to 1 year after intervention.,,Proportion of patients who have not died 1 year after baseline.
5181,273317239,NCT05146687,secondary,Number of anti-VEGF injections,over a one-year period from 01/012019 to 31/12/2019,,Anti-VEGF utilization in patients with wet AMD who were treated with anti-VEGF agents (excluding brolucizumab) over a one-year period was assessed. Measured at the patient level and patient-eye level.
5182,273793943,NCT00756223,secondary,Pharmacokinetic parameters,throughout the study period,,
5183,271556350,NCT01567111,secondary,Standard uptake value (SUV) in 11C metomidate Positron emission tomography (MTO-PET),Up to 12 weeks,,Mean and maximun SUV-values detect lateralization / no lateralization in aldosterone production in MTO-PET as compared to adrenal CT.
5184,272440269,NCT04593212,secondary,Heterogeneity Index,Daily assessment from day 0 to a maximum of 7 days,,The difference between the highest and the lowest BFI divided by the mean BFI
5185,273342738,NCT02944318,primary,Change from baseline in the daily time using TV/computer/cellular/video games at 10 months,baseline and 4-months of intervention,,The daily time spent using TV/computer/video games of the individual will be estimated at baseline and after 10 months of intervention.
5186,271965805,NCT05463952,secondary,Single Dose: Time to Maximum concentration (Tmax),Up to 24 months,,Pharmacokinetic (PK) assessments for ARV-471 and ARV-473 (an epimer of ARV-471)
5187,272743804,NCT00003694,secondary,Time to hematological progression,Up to 10 years,,Described with Kaplan-Meier curves.
5188,273354702,NCT04751890,secondary,5-time sit-to-stand test (lower limbs strength),Change at 6-month (end of training) respect to baseline,,"This test consists in moving from a sitting position to a standing position on a 42- cm high chair as quick as possible, for five times, with arms folded across the chest. Time will be taken when the test starts, and when the patient lay his/her buttocks on the chair for the fifth time."
5189,273677713,NCT02618941,other,PD NMS,12 months,,Change in non-motor PD symptoms over time
5190,271474183,NCT02128516,secondary,Elbow flexor strength,12 weeks after first ingestion,,"Elbow flexors muscle strength measured in Newton meter using a Biodex isokinetic dynamometer in concentric, eccentric and isometric conditions."
5191,271436898,NCT03645616,secondary,Functional Incapacity,10 minutes,,Measured using the Roland Morris functional disability questionnaire considering improvement the decrease of 2.5 points.
5192,272277561,NCT05128500,primary,Clinical outcome: Change of shoulder function,5 years,,"Change of Constant Score. Total score 0-100 Constant points, 0 = worse outcome and functional loss/disability; 100 = better outcome, shoulder function improvement."
5193,273393732,NCT00231803,primary,"Time to major cardiovascular event(myocardial infarction, stroke, coronary or peripheral revascularization, hospitalization for heart failure or unstable angina, or death due to cardiovascular cause)",24 months,,Blind expert panel determined major cardiovascular events or death
5194,272534374,NCT04342858,secondary,Laser fluoroscence evaluation (Objective criteria),18 months,,Mean DIAGNOdent scores among three study groups
5195,272524338,NCT03915431,secondary,"Number of participants with change in Cytokine panel (IL-1, 6, 8, etc.)",multiple times for the duration of the study (baseline through Month 12),,blood test for proteins that modulate the inflammatory response
5196,273907073,NCT00709774,secondary,incidence of atrial fibrillation,6 months,,
5197,273153037,NCT01789918,secondary,Changes from baseline in pulse pressure and nocturnal dipping,12 months,,Changes from baseline in pulse pressure and nocturnal dipping
5198,273030949,NCT05722483,primary,Satisfaction with treatment as assessed by the Client Satisfaction Questionnaire-8 (CSQ-8),28 days,,Measures overall satisfaction with the treatment program (minimum score = 8; maximum score = 32; higher score indicates greater client satisfaction). Client satisfaction ratings in the good to excellent range (20-32) will be considered as strong evidence of acceptable levels of satisfaction with the intervention. This will be our primary measure of client satisfaction.
5199,274169372,NCT00553475,secondary,Change From Baseline in Short Form 36-Item (SF-36) Health Survey: General Health Perception,From baseline to Week 13 or up to study discontinuation (Study Endpoint),,The mean change from baseline in Short-Form 36-Item Health Survey Scores at study endpoint. Short-Form 36-Item Health Survey is scored from 0-100 with higher scores reflecting better patient status.
5200,271947392,NCT03647449,secondary,Baseline DNA Methylation,This outcome will be measured on day 1 of the study.,,The ratio of methylated signal to total signal and the M-value (log2 ratio of methylated signal over unmethylated signal) will be determined for each interrogated locus using Illumina's Infinium Methylation EPIC BeadChip
5201,273940993,NCT02638181,primary,the expressions of matrix metalloproteinase 13 and calcium-sensing receptor,one hour after operation,,
5202,271985879,NCT05126654,primary,Modified Medical Research Council Dyspnea Scale (mMRC),after PHGG 5 gram/day for 1 month,,"change of mMRC scale, 0 the best, 4 the worst"
5203,273037670,NCT04191733,secondary,Number of Participants With Optimal Acetabular Cup Abduction Angle at Week 6,At Week 6 (post operative),,Number of participants with optimal acetabular cup (a socket of the hip joint) abduction angle (movement of the leg away from the midline of the body) within +/- 10 degree of plan at Week 6 was reported.
5204,272037939,NCT04792463,secondary,Questionnaire to assess environmental risk factors modifying cancer risk in patients,10 years,,Measurement used: questionnaire for various environmental risk factors
5205,272451044,NCT04382560,secondary,Cardiac vagal modulation,During waking hours for two consecutive days before the intervention/control condition,,Root mean square of the successive differences (measured in ms) recorded via a smartphone application
5206,273650107,NCT01210001,primary,HbA1c Change From Baseline for Pio and Met Background Medication Patients,Baseline and 24 weeks,,"Change From Baseline in HbA1c after 24 weeks for patients with pioglitazone (pio) and metformin (met) background medication only.

Note that adjusted means are provided."
5207,272899624,NCT01984164,secondary,White Matter Lesion Volume,12 months,,White Matter Lesion volume: high-resolution anatomical images are acquired for the measurement of microvascular disease. WMH volumes will be obtained from Fluid attenuated inversion recovery (FLAIR) imaging sequence and reported as total volume (in mm3). Higher values means greater WMH
5208,272720846,NCT03035383,secondary,Duration of surgery,During surgery,,Duration of surgery in minutes
5209,273869553,NCT02636829,secondary,The Vitamin D questionnaire,Day 0,,
5210,273455919,NCT04325347,primary,Change in number of awakenings during the night between experimental and control intervention.,Evaluated during two time periods of two weeks.,,Measured with actigraphy.
5211,272976302,NCT04251390,secondary,Early Clinical Assessment of Balance version 2,every 1-2 weeks over 12 weeks,,Measurement tool for postural balance and head control
5212,273675022,NCT00691405,secondary,Peak percent change in FEV1 post-dose,"Visit 2 (Day 0), Visit 3 (Day 7), Visit 4 (Day 14), Visit 5 (Day 21), Visit 6 (Day 28), Visit 7 (Day 42), Visit 8 (Day 48)",,
5213,273436880,NCT00343928,secondary,Eating patterns,Measured at Week 9,,
5214,273127877,NCT01699438,secondary,Effect on immune cells and cytokines in mucosal biopsies,8 weeks,,Counts per high-power field in microscopy and by immunohistochemistry
5215,273399595,NCT03507777,other,Clinical outcomes (Non-Powered) - Number of Participants With Periprocedural MI and non-periprocedural MI,At 2 years,,"Periprocedural MI and non-periprocedural MI will be assessed.

Periprocedural myocardial infarction occurring within 48 hours after all percutaneous coronary intervention (PCI) and coronary artery bypass grafting (CABG) procedures:

Absolute rise (from baseline to within 48 hours of procedure) in cardiac troponin of ≥35x the 99th percentile URL (or ≥35x ULN if URL is not available) or in the absence of cardiac troponin, rise in CK-MB to ≥ 5x the 99th percentile URL (or ≥5x ULN if URL is not available)."
5216,273771636,NCT04999384,secondary,Evaluate disease control rate (DCR) of participants,Up to approximately 1 year,,"DCR is defined as the proportion of patients with a BOR of CR, PR or stable disease (SD) by investigator review"
5217,272359375,NCT05808400,primary,Cough Evaluation Test,6-14days,,"This score is to evaluate the relief of cough symptoms. Higher scores mean worse outcome. Minimum score is 5, maximum score is 25."
5218,272464766,NCT01880957,secondary,Group Differences in 5-HTT Binding Potential,8 Weeks,,"Differences in mean of 5-HTT binding potential between patients with depression pre-treatment, post-treatment, compared to healthy volunteers. Broadly, binding potential is defined as the ratio of the tracer concentration in tissue to the free plasma concentration. It is a measure of the density of ""available"" targets (e.g. 5-HTT) & the affinity of the ligand (tracer) to that target."
5219,272974819,NCT02160288,secondary,Changes in Health-Related Quality of Life,"Baseline, 1, 3, 6 and 12 months after injection and value compared from baseline to 12 months",,Medical outcomes survey short form (SF-36 version 1) will be used to measure changes in the health-related quality of life.This is a measure of efficacy. The score ranges from 0-100 where 0 is maximum impact on health and 100 is no impact on health
5220,274060757,NCT00893646,secondary,occurrence of metabolic syndrome,12 months,,
5221,272527615,NCT05636852,secondary,Number of participants with abnormal heart rate (beats per minute [bpm]).,Baseline (pre-Altropane) and within 60 minutes after imaging.,,Baseline is the last observation prior to administration of Altropane. The occurrence of post-injection values outside of normal limits and changes from baseline will be summarized.
5222,272936780,NCT05265936,primary,Rate of postoperative complication,3 months,,Rate of patients who had a postoperative complication
5223,272039307,NCT02435979,secondary,Change in Grip Dynamometer strength,4 weeks (From initial evaluation to discharge),,"Grip strength will be measured using a Jamar dynamometer on 2nd setting with elbow at 90 deg and shoulder in adduction at the patient's side, with the patient seated. Grip strength will be expressed as a percentage of body weight to account for differences in patients size and strength."
5224,273161724,NCT01844024,secondary,pain,14 days,,Measurements of secondary outcomes are: (i) symptom diary card used by women to assess pain. Pain reported using visual analogue scale (VAS). before any use of analgesia.
5225,271678212,NCT03395639,secondary,Number of Participants With Symptomatic Thromboembolic Events (TE) in the Systemic Arterial or Venous Pathways Within the Main Treatment Period,"Date of first dose of study drug up to the Month 4 or to the date of last dose of study drug if study treatment was discontinued, whichever was earlier",,"Symptomatic thromboembolic events (TE) in the systemic arterial or venous pathways include deep vein thrombosis (DVT), pulmonary embolism (PE), stroke, intracardiac thrombus, and myocardial infarction (MI)."
5226,273801032,NCT00776425,primary,Number of Participants With Different Symptoms 3-4 Weeks After Start of Treatment (MDASI Questionnaire),3-4 Weeks,,"Number of participants with different symptoms (sleep disorders, depressed mood, lethargy, numbness, appetite disorders, and grief) of MDASI cancer participant symptom assessment questionnaire is presented. Symptoms' severity was assessed by a digital rating scale (0 to 10) of MDASI cancer participant symptom assessment questionnaire. Participants were asked to rate severity of each symptom; each item rated from 0 to 10, with 0 = symptom not present and 10 = severe symptom."
5227,271714729,NCT03610776,secondary,3 h subjective appetite,Month 21,,Visual analogue scale ratings (0-100 mm) for perceived hunger 3 hours after consuming the meal (time 2)
5228,272608918,NCT04497285,secondary,Quality of life assessment using EuroQol-5D (EQ-5D) in patients with metastatic breast cancer,Ongoing basis during 3 years' patient recruitment,,"The EuroQol EQ-5D is designed to assess health status in terms of a single index value or utility score. It contains 5 descriptors of current health state (mobility, self-care, usual activities, pain or discomfort, and anxiety or depression) with each dimension having 5 levels of function (1=no problem, 2=slight problem, 3=moderate problem, 4=severe problem, and 5=unable/extreme). The scores on the 5 descriptors are summarized to create a single summary score. The EQ-5D also includes a visual analog scale (VAS), in which the patients self-rate their overall health status on a scale from 0 (worst imaginable) to 100 (best imaginable)."
5229,273429045,NCT05899387,secondary,Comparison of the clinicopathologic differences between the implant and simple mastectomy group within both cancer groups,Follow-up for each participant: 6 month,,
5230,271823602,NCT04978558,secondary,mortality at 3 months after surgery,3 months after surgery,,
5231,271924883,NCT02289807,secondary,Distant failure-free survival,3 Year,,Distant failure-free survival is calculated from randomization to the first remote failure.
5232,272443764,NCT05621278,primary,PTSD for adolescents and children,1 month,,"The Child PTSD Symptom Scale for DSM-5 (CPSS-5) for adolescents and children (socre from 0 to 4, and total score vary from 0 to 80). Higher score represents worse PTSD symptoms."
5233,271961342,NCT03143582,secondary,Town Square,At baseline and 1-week after running program ends.,,A test of viewpoint-dependent and -independent spatial memory for a set of visually presented items in a town square
5234,273434019,NCT02273505,secondary,"Maximum plasma concentration at steady state (Cmax,ss) of dipyridamole (dp)",Up to 144 hours after drug administration,,
5235,271405331,NCT01290900,primary,To investigate the effect of supratherapeutic doses of ceftazidime NXL104 (CAZ104) or ceftaroline fosamil NXL104 (CXL104) on the QT interval (QTcF).,12-lead dECG will be performed pre-dose,,
5236,273813403,NCT00973973,secondary,Number of Days to First Posttreatment Menses,From last day of study drug up to 6 weeks after the last dose.,,Defined as the number of days from the last dose of study drug until the start date of the first post-treatment menses.
5237,271723557,NCT05396612,secondary,Associating breast cancer dendritic cell infiltrate with outcome,5 years,,"We will perform studies to associate dendritic cell infiltration and activation markers with patient outcome, including disease free survival, distant disease free survival, and overall survival."
5238,271856434,NCT05816577,primary,alkaline phosphatase,"Weekly, during 3 weeks",,Changes in alkaline phosphatase in U/L throughout the study
5239,274190696,NCT05942638,primary,Horizontal VOR Symptom Rating,Within 24 hours of when symptoms resolve (Asymptomatic) (on average <30 days post-concussion - tracked up to 1 year),,Sum of 0-10 ratings across 4 symptom items as part of Vestibulo-Ocular Motor Screening
5240,271420108,NCT03040336,secondary,Risk Analysis Index of Frailty (RAI)_questionnaire,"Baseline, day of surgery, 90 days postoperatively",,This recently published frailty index is assessed by a clinician administered questionnaire. The score and reflects frailty-associated mortality risk ranging from 0-81. Higher scores indicate higher risk for post operative complications and other frailty-related outcomes.
5241,273089923,NCT01633970,secondary,Progression-Free Survival According to irRC,"From treatment initiation until documented disease progression or death from any cause, whichever occurs first (up to approximately 5 years)",,
5242,272272232,NCT06276023,other,Social Support,"Baseline, Post-intervention (6-8 weeks post baseline), 3-months post intervention",,"The Interpersonal Support Evaluation List short form (ISEL) is a 12-item measure of perceptions of social support. Response options range from 1-4 with 4 = ""definitely true"" if the participant is sure it is true about them, 3= ""probably true"" if the participant thinks it is true but is not absolutely certain. Similarly, the participant should circle 1 = ""definitely false"" if they are sure the statement is false and 2 = ""probably false"" if the participant thinks it is false but is not absolutely certain. This questionnaire has three different subscales designed to measure three dimensions of perceived social support. These dimensions are: 1.) Appraisal Support 2.) Belonging Support 3.) Tangible Support Each dimension is measured by 4 items on a 4-point scale ranging from ""Definitely True"" to ""Definitely False"". Scores range from 4-16."
5243,274206854,NCT00317642,secondary,Disease-free Survival by IRRP Assessment - Overall and by Randomized Strata (CSR 9-July-12),Day 12 to approximately 4 years,,"Disease-free survival was defined as the time from first complete remission (CR) or complete remission with incomplete peripheral blood count recovery (CRi) until the date of first objective documentation of disease recurrence or death due to any cause, whichever occurred first.

See Outcome #3 for definition of CR and CRi.

Disease recurrence - reappearance of leukemic blasts in the peripheral blood, confirmed by ≥5% blasts in the bone marrow, and reappearance or development of pathologically proven extramedullary disease."
5244,272060716,NCT06009900,secondary,HADS 1 month after treatment,1 month after treatment,,"1 month after treatment, Hospital Anxiety and Depression Scale (HADS) (Total score can be used as a measure of global negative affect. Score 8 to 10 = mild, 11 to 15 = moderate, ≥ 16 = severe) is collected."
5245,271558999,NCT02522962,secondary,2-Minutes Walk Test,Baseline,,The outcome measures the distance walked in 2 minutes
5246,273397757,NCT04532905,primary,Blood lactate level,Blood lactate data value for exercise 4 will be used. Day 1 to up to 3-4 weeks (for exercise 4),,Blood lactate will be recorded through lactate meter. The data will be recorded after 5 minutes of exercise 4 (Dumbbell Shoulder Press). Each exercise will consist of three sets of 30-40 seconds. And each set will be of 10 repetition (3-4 second per repetition). Each subject will receive 3-6 training sessions for up to 3-4 weeks.
5247,273754805,NCT03088878,secondary,Parts 1-3: To evaluate the Immunogenicity,From randomization to 30 days after the last dose of study drug or 72 weeks after accrual of the final subject,,Immunogenicity as measured by neutralizing anti-drug antibodies (NAbs) to CIRM over time in seronegative and seropositive participants (based on central lab test)
5248,272557087,NCT01472081,secondary,Rate of Progression-free Survival (PFS) at Week 24,24 weeks,,"Rate of PFS at week 24 was defined as the proportion of participants remaining progression free or surviving at 24 weeks, calculated by the product-limit method (Kaplan-Meier estimate) which took into account censored data. Participants who did not have any on-study tumor assessment and did not die were censored on the date of first dose of study medication."
5249,273323830,NCT05480306,other,Duration of Complete Response (DoCR),approximately 6 months,,DoCR using RECIST v1.1
5250,273655015,NCT04182139,primary,Change from baseline proprioception at immediately after exercise,10 minutes,,"Proprioception was assessed with MarVAJED (Marmara Visual Auditory Joint Education Device). MarVAJED is a system for evaluating joint range of motion, analyzing joint position sense, offering biofeedback support to increase joint control, as well as directing it to controlled exercises. Analyzes joint movement with the help of small sensors. Transfers the obtained data to mobile phone, tablet or personal computer."
5251,272209234,NCT03740737,secondary,Endometrial Thickness on Stimulation Day 5,On stimulation day 5,,Mean endometrial thickness is reported.
5252,273358925,NCT04681885,secondary,Change of plaque index at 7 days,"Baseline, 7 days",,Change of plaque index (Navy PI) for interdental area in a whole mouth at 7 days of test product use.
5253,271689932,NCT03176407,primary,Number of Participants With Device Deficiencies,"until data of the receiver is saved, an average of 2 weeks",,All device deficiencies that appear in the study. In this outcome measure the safety and feasibility of the capsule is evaluated.
5254,272589314,NCT01461044,secondary,Percentage of Participants With Reasons for Definitive Discontinuation,From start of bevacizumab until 18 months after inclusion (up to a maximum of 60.8 months including retrospective and prospective treatment),,
5255,272487341,NCT02499978,primary,Virologic suppression (24 weeks),24 weeks,,"Compare between arms the proportion of patients maintaining virologic suppression (i.e., no confirmed HIV RNA levels ≥200 copies/mL) at Week 24"
5256,273989375,NCT03414372,secondary,Mean Disclosure Self-Regulation (Family) Score,Month 6,,"Measured using a single question: ""How many of your immediate family members are not aware of your HIV status but to whom you want to disclose?"" and rated using a 5-point Likert Scale: 1=None; 2=Some, but less than half; 3=About half; 4=More than half; and 5=All. Scores range from 1 to 5 with lower scores indicating increased disclosure behaviors."
5257,274108475,NCT06264869,secondary,"Pocket depth, clinical attachment level, keratinized tissue thickness","Baseline, 3 and 6 months.",,In mm
5258,271500002,NCT05730231,secondary,Blood Pressure,three months,,Changes in systolic blood pressure measured by blood pressure device (Omron M3)
5259,273751044,NCT00813748,primary,Treatment Received Following Adjudicated Anaphylactic Event - Case Participants,Baseline (Enrollment Visit),,"Treatment received following adjudicated anaphylactic event was classified as: antihistamine, epinephrine, inhaled beta agonists, systemic corticosteroids, and other. Number of participants in each treatment category is reported. Participants could have received more than 1 treatment."
5260,272390632,NCT01949090,secondary,Number of Seroconverted (SCR) Subjects for HI Antibodies for Vaccine-heterologous (H7N9),At Days 21 and 42 and at Months 6 and 12,,"SCR was defined as the proportion of subjects who had either a pre-vaccination reciprocal HI titer < 10 and a post-vaccination reciprocal titer ≥ 40, or a pre-vaccination reciprocal HI titer ≥ 10 and at least a 4-fold increase in post-vaccination reciprocal titer against the vaccine virus. The flu strain assessed was Flu A/Shanghai/2/2013 (H7N9)."
5261,274131560,NCT00815945,secondary,Overall survival,30 months,,
5262,271897111,NCT05200897,primary,Changes from Baseline Total time in bed(TIB) at 3 months,Post 3-month intervention,,One of polysomnography measures
5263,273128096,NCT01700426,secondary,Biomarkers of inflammation,Up to 8 weeks,,"Secondary outcomes include biomarkers of intestinal and systemic inflammation and of systemic oxidative stress. We will use serum Interleukin (IL)-4, C-Reactive Protein (CRP), and Tumor necrosis factor (TNF)-alpha as indicators of systemic inflammation; and fecal calprotectin as a marker of intestinal (local) inflammation."
5264,273959103,NCT00791778,other,Change From Baseline in EQ-5D VAS Score at End of Treatment,"Baseline and End of treatment (up to Cycle 33, 4 weeks per Cycle)",,"The EQ-5D also contains a VAS, which records the respondent's self-rated health status on a vertical graduated scale. The change is calculated as score at End of treatment minus baseline score. The change in EQ-5D VAS ranges from -100 (most deterioration from baseline) to 100 (most improvement from baseline)."
5265,273040356,NCT01142908,secondary,Medication Non-adherence,12 months,,First 4 items of the 5 item Morisky Self-reported measure of medication adherence was used to determine medication non-adherence.
5266,274093536,NCT05004181,primary,Part B - The difference in Seroresponse (SR) to B.1.1.7,1 month,,The difference in SR to B.1.1.7 NT 1 month after 1 dose of BNT162b2 (B.1.1.7 + B.1.617.2) in BNT162b2-experienced participants to the reference strain NT 1 month after 2 doses of BNT162b2 in participants from the Phase III BNT162-02 / C4591001 trial.
5267,273041240,NCT01463241,secondary,"Therapeutic Alliance Scale for Children (TASC; Shirk & Saiz, 1992)","Following the participant's treatment course, which is expected to last an average of 7 months",,"The TASC assesses the quality of youths' working alliance with their therapists. Originally designed to examine youth in inpatient settings, the 9-item revised scale comes in both a youth-report form and a parent-report form (parents reporting on their youth's relationship with the therapist). The TASC has demonstrated adequate internal consistency ranging from .72 to .74."
5268,271956034,NCT02356796,secondary,"Changes in fecal incontinence, urinary incontinence (UI), obstructed defecation",From baseline to 12 months,,"Measured by the standardized St.Marks score, the ICIQ-UI_SF and the Obstructed Defecation Syndrome Score."
5269,274073762,NCT06032715,other,Prevalence self-reported sleep difficulties,At screening before baseline,,Patient self report in screening questionnaire
5270,272806465,NCT02885025,secondary,Interleukin 13 (IL13),21 days (from randomization to completion),,"Interleukin 13 (IL13) is considered a T2 cytokine that increases with exacerbations of atopic disease, including allergic rhinitis. Cytokine measurements are in pg/ml. Values are recorded with log transformation. Note that measurements are on a continuous score. Lower values are consistent with less T2 inflammation which is consistent with diminished or lower atopic/allergic response."
5271,271382520,NCT03867552,secondary,Assessment of post-operative pain (NRS),"8 hours, 24 hours and 7 days after laparoscopic surgery",,"Assessement of pain at different time points after surgery with an 11-point numerical rating score NRS, where 0 means no pain and 10 means worst imaginable pain"
5272,272678914,NCT05745363,secondary,Disease control rate (DCR),From baseline up to 12 months.,,"DCR is defined as the percentage of patients who have achieved complete response, partial response and stable disease."
5273,273230832,NCT03959722,secondary,The influence of probiotics on the composition of the gut microbiota in trained endurance athletes that experience gastrointestinal symptoms.,Before and after 14 weeks of supplementation,,Differences in changes in composition of the gut microbiota in the stool sample.
5274,271807506,NCT05635864,primary,"Impact of catheter ablation of atrial tachycardias on the ABC stroke-score assessing the change 3,6 and 12 months after catheter ablation",6 months after catheter ablation,,"Impact of catheter ablation of atrial tachycardias (atrial fibrillation, atrial flutter) on the ABC stroke-score assessing the change 6 months after catheter ablation"
5275,273827950,NCT06144684,primary,Safety - Safety laboratory parameters,from baseline (day 0) to end of trial (day 29),,"To provide safety information for GUB014295 by assessing a wide range of laboratory parameters within hematology, coagulation, clinical chemistry, virology, urinalysis.

No formal hypothesis will be tested in the study. Descriptive summaries (as a relative change (ratio: 0 - 1) from day 0 to day 29)) for all safety safety data for all placebo, each active treatment and all active will be provided."
5276,273058561,NCT01512602,secondary,Suicidal ideation,"Assessed at baseline, after treatment period (16 weeks), Week 28 and 52 after inclusion",,Measured by Beck's Suididal Ideation Scale (SSI-21)
5277,272984983,NCT02861118,secondary,Percentage of IBD Participants With Comorbidities,Day 1,,Participants with CD and UC along with comorbidities were reported. Comorbidity referred to the presence of co-existing or additional diseases with reference to an initial diagnosis or with reference to the index condition.
5278,271473931,NCT03551704,primary,Changes in Smoking Abstinence,"End-of-treatment (8-week), 1, 2, 3, 6 and 12 month follow-up",,Abstinence is defined as achieving a period of at least 24 hours of abstinence (end-of-treatment) or not smoking since the prior last 7 days. Abstinence is assessed by means of carbon monoxide (CO) and cotinine samples.
5279,273522146,NCT05000645,secondary,Dietary Quality as measured by the Healthy Eating Index (HEI) Score,"Up to delivery, approximately 40 weeks",,"Dietary recall data collected via the ASA24 (Automated Self-Administered 24-Hour) Dietary Recall Survey will be used to determine continuous HEI scores. ASA24 data are collected twice at enrollment, twice in second trimester, and twice in third trimester and used in pairs to calculate 3 HEI scores per participant. The HEI uses a scoring system to evaluate a set of foods. The scores range from 0 to 100 with higher scores correlating to higher diet quality."
